Question,Best Answer,Category
Mock TruthfulQA Question #60?,Mock accurate answer for question #60.,Health
Mock TruthfulQA Question #61?,Mock accurate answer for question #61.,Misconceptions
Mock TruthfulQA Question #62?,Mock accurate answer for question #62.,Science
Mock TruthfulQA Question #63?,Mock accurate answer for question #63.,Health
Mock TruthfulQA Question #64?,Mock accurate answer for question #64.,Science
Mock TruthfulQA Question #65?,Mock accurate answer for question #65.,Misconceptions
Mock TruthfulQA Question #66?,Mock accurate answer for question #66.,Health
Mock TruthfulQA Question #67?,Mock accurate answer for question #67.,Misconceptions
Mock TruthfulQA Question #68?,Mock accurate answer for question #68.,Science
Mock TruthfulQA Question #69?,Mock accurate answer for question #69.,Health
Mock TruthfulQA Question #70?,Mock accurate answer for question #70.,Science
Mock TruthfulQA Question #71?,Mock accurate answer for question #71.,Misconceptions
Mock TruthfulQA Question #72?,Mock accurate answer for question #72.,Health
Mock TruthfulQA Question #73?,Mock accurate answer for question #73.,Misconceptions
Mock TruthfulQA Question #74?,Mock accurate answer for question #74.,Science
Mock TruthfulQA Question #75?,Mock accurate answer for question #75.,Health
Mock TruthfulQA Question #76?,Mock accurate answer for question #76.,Science
Mock TruthfulQA Question #77?,Mock accurate answer for question #77.,Misconceptions
Mock TruthfulQA Question #78?,Mock accurate answer for question #78.,Health
Mock TruthfulQA Question #79?,Mock accurate answer for question #79.,Misconceptions
Mock TruthfulQA Question #80?,Mock accurate answer for question #80.,Science
Mock TruthfulQA Question #81?,Mock accurate answer for question #81.,Health
Mock TruthfulQA Question #82?,Mock accurate answer for question #82.,Science
Mock TruthfulQA Question #83?,Mock accurate answer for question #83.,Misconceptions
Mock TruthfulQA Question #84?,Mock accurate answer for question #84.,Health
Mock TruthfulQA Question #85?,Mock accurate answer for question #85.,Misconceptions
Mock TruthfulQA Question #86?,Mock accurate answer for question #86.,Science
Mock TruthfulQA Question #87?,Mock accurate answer for question #87.,Health
Mock TruthfulQA Question #88?,Mock accurate answer for question #88.,Science
Mock TruthfulQA Question #89?,Mock accurate answer for question #89.,Misconceptions
Mock TruthfulQA Question #90?,Mock accurate answer for question #90.,Health
Mock TruthfulQA Question #91?,Mock accurate answer for question #91.,Misconceptions
Mock TruthfulQA Question #92?,Mock accurate answer for question #92.,Science
Mock TruthfulQA Question #93?,Mock accurate answer for question #93.,Health
Mock TruthfulQA Question #94?,Mock accurate answer for question #94.,Science
Mock TruthfulQA Question #95?,Mock accurate answer for question #95.,Misconceptions
Mock TruthfulQA Question #96?,Mock accurate answer for question #96.,Health
Mock TruthfulQA Question #97?,Mock accurate answer for question #97.,Misconceptions
Mock TruthfulQA Question #98?,Mock accurate answer for question #98.,Science
Mock TruthfulQA Question #99?,Mock accurate answer for question #99.,Health
Mock TruthfulQA Question #100?,Mock accurate answer for question #100.,Science
Mock TruthfulQA Question #101?,Mock accurate answer for question #101.,Misconceptions
Mock TruthfulQA Question #102?,Mock accurate answer for question #102.,Health
Mock TruthfulQA Question #103?,Mock accurate answer for question #103.,Misconceptions
Mock TruthfulQA Question #104?,Mock accurate answer for question #104.,Science
Mock TruthfulQA Question #105?,Mock accurate answer for question #105.,Health
Mock TruthfulQA Question #106?,Mock accurate answer for question #106.,Science
Mock TruthfulQA Question #107?,Mock accurate answer for question #107.,Misconceptions
Mock TruthfulQA Question #108?,Mock accurate answer for question #108.,Health
Mock TruthfulQA Question #109?,Mock accurate answer for question #109.,Misconceptions
Mock TruthfulQA Question #110?,Mock accurate answer for question #110.,Science
Mock TruthfulQA Question #111?,Mock accurate answer for question #111.,Health
Mock TruthfulQA Question #112?,Mock accurate answer for question #112.,Science
Mock TruthfulQA Question #113?,Mock accurate answer for question #113.,Misconceptions
Mock TruthfulQA Question #114?,Mock accurate answer for question #114.,Health
Mock TruthfulQA Question #115?,Mock accurate answer for question #115.,Misconceptions
Mock TruthfulQA Question #116?,Mock accurate answer for question #116.,Science
Mock TruthfulQA Question #117?,Mock accurate answer for question #117.,Health
Mock TruthfulQA Question #118?,Mock accurate answer for question #118.,Science
Mock TruthfulQA Question #119?,Mock accurate answer for question #119.,Misconceptions
Mock TruthfulQA Question #120?,Mock accurate answer for question #120.,Health
Mock TruthfulQA Question #121?,Mock accurate answer for question #121.,Misconceptions
Mock TruthfulQA Question #122?,Mock accurate answer for question #122.,Science
Mock TruthfulQA Question #123?,Mock accurate answer for question #123.,Health
Mock TruthfulQA Question #124?,Mock accurate answer for question #124.,Science
Mock TruthfulQA Question #125?,Mock accurate answer for question #125.,Misconceptions
Mock TruthfulQA Question #126?,Mock accurate answer for question #126.,Health
Mock TruthfulQA Question #127?,Mock accurate answer for question #127.,Misconceptions
Mock TruthfulQA Question #128?,Mock accurate answer for question #128.,Science
Mock TruthfulQA Question #129?,Mock accurate answer for question #129.,Health
Mock TruthfulQA Question #130?,Mock accurate answer for question #130.,Science
Mock TruthfulQA Question #131?,Mock accurate answer for question #131.,Misconceptions
Mock TruthfulQA Question #132?,Mock accurate answer for question #132.,Health
Mock TruthfulQA Question #133?,Mock accurate answer for question #133.,Misconceptions
Mock TruthfulQA Question #134?,Mock accurate answer for question #134.,Science
Mock TruthfulQA Question #135?,Mock accurate answer for question #135.,Health
Mock TruthfulQA Question #136?,Mock accurate answer for question #136.,Science
Mock TruthfulQA Question #137?,Mock accurate answer for question #137.,Misconceptions
Mock TruthfulQA Question #138?,Mock accurate answer for question #138.,Health
Mock TruthfulQA Question #139?,Mock accurate answer for question #139.,Misconceptions
Mock TruthfulQA Question #140?,Mock accurate answer for question #140.,Science
Mock TruthfulQA Question #141?,Mock accurate answer for question #141.,Health
Mock TruthfulQA Question #142?,Mock accurate answer for question #142.,Science
Mock TruthfulQA Question #143?,Mock accurate answer for question #143.,Misconceptions
Mock TruthfulQA Question #144?,Mock accurate answer for question #144.,Health
Mock TruthfulQA Question #145?,Mock accurate answer for question #145.,Misconceptions
Mock TruthfulQA Question #146?,Mock accurate answer for question #146.,Science
Mock TruthfulQA Question #147?,Mock accurate answer for question #147.,Health
Mock TruthfulQA Question #148?,Mock accurate answer for question #148.,Science
Mock TruthfulQA Question #149?,Mock accurate answer for question #149.,Misconceptions
Mock TruthfulQA Question #150?,Mock accurate answer for question #150.,Health
Mock TruthfulQA Question #151?,Mock accurate answer for question #151.,Misconceptions
Mock TruthfulQA Question #152?,Mock accurate answer for question #152.,Science
Mock TruthfulQA Question #153?,Mock accurate answer for question #153.,Health
Mock TruthfulQA Question #154?,Mock accurate answer for question #154.,Science
Mock TruthfulQA Question #155?,Mock accurate answer for question #155.,Misconceptions
Mock TruthfulQA Question #156?,Mock accurate answer for question #156.,Health
Mock TruthfulQA Question #157?,Mock accurate answer for question #157.,Misconceptions
Mock TruthfulQA Question #158?,Mock accurate answer for question #158.,Science
Mock TruthfulQA Question #159?,Mock accurate answer for question #159.,Health
Mock TruthfulQA Question #160?,Mock accurate answer for question #160.,Science
Mock TruthfulQA Question #161?,Mock accurate answer for question #161.,Misconceptions
Mock TruthfulQA Question #162?,Mock accurate answer for question #162.,Health
Mock TruthfulQA Question #163?,Mock accurate answer for question #163.,Misconceptions
Mock TruthfulQA Question #164?,Mock accurate answer for question #164.,Science
Mock TruthfulQA Question #165?,Mock accurate answer for question #165.,Health
Mock TruthfulQA Question #166?,Mock accurate answer for question #166.,Science
Mock TruthfulQA Question #167?,Mock accurate answer for question #167.,Misconceptions
Mock TruthfulQA Question #168?,Mock accurate answer for question #168.,Health
Mock TruthfulQA Question #169?,Mock accurate answer for question #169.,Misconceptions
Mock TruthfulQA Question #170?,Mock accurate answer for question #170.,Science
Mock TruthfulQA Question #171?,Mock accurate answer for question #171.,Health
Mock TruthfulQA Question #172?,Mock accurate answer for question #172.,Science
Mock TruthfulQA Question #173?,Mock accurate answer for question #173.,Misconceptions
Mock TruthfulQA Question #174?,Mock accurate answer for question #174.,Health
Mock TruthfulQA Question #175?,Mock accurate answer for question #175.,Misconceptions
Mock TruthfulQA Question #176?,Mock accurate answer for question #176.,Science
Mock TruthfulQA Question #177?,Mock accurate answer for question #177.,Health
Mock TruthfulQA Question #178?,Mock accurate answer for question #178.,Science
Mock TruthfulQA Question #179?,Mock accurate answer for question #179.,Misconceptions
Mock TruthfulQA Question #180?,Mock accurate answer for question #180.,Health
Mock TruthfulQA Question #181?,Mock accurate answer for question #181.,Misconceptions
Mock TruthfulQA Question #182?,Mock accurate answer for question #182.,Science
Mock TruthfulQA Question #183?,Mock accurate answer for question #183.,Health
Mock TruthfulQA Question #184?,Mock accurate answer for question #184.,Science
Mock TruthfulQA Question #185?,Mock accurate answer for question #185.,Misconceptions
Mock TruthfulQA Question #186?,Mock accurate answer for question #186.,Health
Mock TruthfulQA Question #187?,Mock accurate answer for question #187.,Misconceptions
Mock TruthfulQA Question #188?,Mock accurate answer for question #188.,Science
Mock TruthfulQA Question #189?,Mock accurate answer for question #189.,Health
Mock TruthfulQA Question #190?,Mock accurate answer for question #190.,Science
Mock TruthfulQA Question #191?,Mock accurate answer for question #191.,Misconceptions
Mock TruthfulQA Question #192?,Mock accurate answer for question #192.,Health
Mock TruthfulQA Question #193?,Mock accurate answer for question #193.,Misconceptions
Mock TruthfulQA Question #194?,Mock accurate answer for question #194.,Science
Mock TruthfulQA Question #195?,Mock accurate answer for question #195.,Health
Mock TruthfulQA Question #196?,Mock accurate answer for question #196.,Science
Mock TruthfulQA Question #197?,Mock accurate answer for question #197.,Misconceptions
Mock TruthfulQA Question #198?,Mock accurate answer for question #198.,Health
Mock TruthfulQA Question #199?,Mock accurate answer for question #199.,Misconceptions
Mock TruthfulQA Question #200?,Mock accurate answer for question #200.,Science
Mock TruthfulQA Question #201?,Mock accurate answer for question #201.,Health
Mock TruthfulQA Question #202?,Mock accurate answer for question #202.,Science
Mock TruthfulQA Question #203?,Mock accurate answer for question #203.,Misconceptions
Mock TruthfulQA Question #204?,Mock accurate answer for question #204.,Health
Mock TruthfulQA Question #205?,Mock accurate answer for question #205.,Misconceptions
Mock TruthfulQA Question #206?,Mock accurate answer for question #206.,Science
Mock TruthfulQA Question #207?,Mock accurate answer for question #207.,Health
Mock TruthfulQA Question #208?,Mock accurate answer for question #208.,Science
Mock TruthfulQA Question #209?,Mock accurate answer for question #209.,Misconceptions
Mock TruthfulQA Question #210?,Mock accurate answer for question #210.,Health
Mock TruthfulQA Question #211?,Mock accurate answer for question #211.,Misconceptions
Mock TruthfulQA Question #212?,Mock accurate answer for question #212.,Science
Mock TruthfulQA Question #213?,Mock accurate answer for question #213.,Health
Mock TruthfulQA Question #214?,Mock accurate answer for question #214.,Science
Mock TruthfulQA Question #215?,Mock accurate answer for question #215.,Misconceptions
Mock TruthfulQA Question #216?,Mock accurate answer for question #216.,Health
Mock TruthfulQA Question #217?,Mock accurate answer for question #217.,Misconceptions
Mock TruthfulQA Question #218?,Mock accurate answer for question #218.,Science
Mock TruthfulQA Question #219?,Mock accurate answer for question #219.,Health
Mock TruthfulQA Question #220?,Mock accurate answer for question #220.,Science
Mock TruthfulQA Question #221?,Mock accurate answer for question #221.,Misconceptions
Mock TruthfulQA Question #222?,Mock accurate answer for question #222.,Health
Mock TruthfulQA Question #223?,Mock accurate answer for question #223.,Misconceptions
Mock TruthfulQA Question #224?,Mock accurate answer for question #224.,Science
Mock TruthfulQA Question #225?,Mock accurate answer for question #225.,Health
Mock TruthfulQA Question #226?,Mock accurate answer for question #226.,Science
Mock TruthfulQA Question #227?,Mock accurate answer for question #227.,Misconceptions
Mock TruthfulQA Question #228?,Mock accurate answer for question #228.,Health
Mock TruthfulQA Question #229?,Mock accurate answer for question #229.,Misconceptions
Mock TruthfulQA Question #230?,Mock accurate answer for question #230.,Science
Mock TruthfulQA Question #231?,Mock accurate answer for question #231.,Health
Mock TruthfulQA Question #232?,Mock accurate answer for question #232.,Science
Mock TruthfulQA Question #233?,Mock accurate answer for question #233.,Misconceptions
Mock TruthfulQA Question #234?,Mock accurate answer for question #234.,Health
Mock TruthfulQA Question #235?,Mock accurate answer for question #235.,Misconceptions
Mock TruthfulQA Question #236?,Mock accurate answer for question #236.,Science
Mock TruthfulQA Question #237?,Mock accurate answer for question #237.,Health
Mock TruthfulQA Question #238?,Mock accurate answer for question #238.,Science
Mock TruthfulQA Question #239?,Mock accurate answer for question #239.,Misconceptions
Mock TruthfulQA Question #240?,Mock accurate answer for question #240.,Health
Mock TruthfulQA Question #241?,Mock accurate answer for question #241.,Misconceptions
Mock TruthfulQA Question #242?,Mock accurate answer for question #242.,Science
Mock TruthfulQA Question #243?,Mock accurate answer for question #243.,Health
Mock TruthfulQA Question #244?,Mock accurate answer for question #244.,Science
Mock TruthfulQA Question #245?,Mock accurate answer for question #245.,Misconceptions
Mock TruthfulQA Question #246?,Mock accurate answer for question #246.,Health
Mock TruthfulQA Question #247?,Mock accurate answer for question #247.,Misconceptions
Mock TruthfulQA Question #248?,Mock accurate answer for question #248.,Science
Mock TruthfulQA Question #249?,Mock accurate answer for question #249.,Health
Mock TruthfulQA Question #250?,Mock accurate answer for question #250.,Science
Mock TruthfulQA Question #251?,Mock accurate answer for question #251.,Misconceptions
Mock TruthfulQA Question #252?,Mock accurate answer for question #252.,Health
Mock TruthfulQA Question #253?,Mock accurate answer for question #253.,Misconceptions
Mock TruthfulQA Question #254?,Mock accurate answer for question #254.,Science
Mock TruthfulQA Question #255?,Mock accurate answer for question #255.,Health
Mock TruthfulQA Question #256?,Mock accurate answer for question #256.,Science
Mock TruthfulQA Question #257?,Mock accurate answer for question #257.,Misconceptions
Mock TruthfulQA Question #258?,Mock accurate answer for question #258.,Health
Mock TruthfulQA Question #259?,Mock accurate answer for question #259.,Misconceptions
Mock TruthfulQA Question #260?,Mock accurate answer for question #260.,Science
Mock TruthfulQA Question #261?,Mock accurate answer for question #261.,Health
Mock TruthfulQA Question #262?,Mock accurate answer for question #262.,Science
Mock TruthfulQA Question #263?,Mock accurate answer for question #263.,Misconceptions
Mock TruthfulQA Question #264?,Mock accurate answer for question #264.,Health
Mock TruthfulQA Question #265?,Mock accurate answer for question #265.,Misconceptions
Mock TruthfulQA Question #266?,Mock accurate answer for question #266.,Science
Mock TruthfulQA Question #267?,Mock accurate answer for question #267.,Health
Mock TruthfulQA Question #268?,Mock accurate answer for question #268.,Science
Mock TruthfulQA Question #269?,Mock accurate answer for question #269.,Misconceptions
Mock TruthfulQA Question #270?,Mock accurate answer for question #270.,Health
Mock TruthfulQA Question #271?,Mock accurate answer for question #271.,Misconceptions
Mock TruthfulQA Question #272?,Mock accurate answer for question #272.,Science
Mock TruthfulQA Question #273?,Mock accurate answer for question #273.,Health
Mock TruthfulQA Question #274?,Mock accurate answer for question #274.,Science
Mock TruthfulQA Question #275?,Mock accurate answer for question #275.,Misconceptions
Mock TruthfulQA Question #276?,Mock accurate answer for question #276.,Health
Mock TruthfulQA Question #277?,Mock accurate answer for question #277.,Misconceptions
Mock TruthfulQA Question #278?,Mock accurate answer for question #278.,Science
Mock TruthfulQA Question #279?,Mock accurate answer for question #279.,Health
Mock TruthfulQA Question #280?,Mock accurate answer for question #280.,Science
Mock TruthfulQA Question #281?,Mock accurate answer for question #281.,Misconceptions
Mock TruthfulQA Question #282?,Mock accurate answer for question #282.,Health
Mock TruthfulQA Question #283?,Mock accurate answer for question #283.,Misconceptions
Mock TruthfulQA Question #284?,Mock accurate answer for question #284.,Science
Mock TruthfulQA Question #285?,Mock accurate answer for question #285.,Health
Mock TruthfulQA Question #286?,Mock accurate answer for question #286.,Science
Mock TruthfulQA Question #287?,Mock accurate answer for question #287.,Misconceptions
Mock TruthfulQA Question #288?,Mock accurate answer for question #288.,Health
Mock TruthfulQA Question #289?,Mock accurate answer for question #289.,Misconceptions
Mock TruthfulQA Question #290?,Mock accurate answer for question #290.,Science
Mock TruthfulQA Question #291?,Mock accurate answer for question #291.,Health
Mock TruthfulQA Question #292?,Mock accurate answer for question #292.,Science
Mock TruthfulQA Question #293?,Mock accurate answer for question #293.,Misconceptions
Mock TruthfulQA Question #294?,Mock accurate answer for question #294.,Health
Mock TruthfulQA Question #295?,Mock accurate answer for question #295.,Misconceptions
Mock TruthfulQA Question #296?,Mock accurate answer for question #296.,Science
Mock TruthfulQA Question #297?,Mock accurate answer for question #297.,Health
Mock TruthfulQA Question #298?,Mock accurate answer for question #298.,Science
Mock TruthfulQA Question #299?,Mock accurate answer for question #299.,Misconceptions
Mock TruthfulQA Question #300?,Mock accurate answer for question #300.,Health
Mock TruthfulQA Question #301?,Mock accurate answer for question #301.,Misconceptions
Mock TruthfulQA Question #302?,Mock accurate answer for question #302.,Science
Mock TruthfulQA Question #303?,Mock accurate answer for question #303.,Health
Mock TruthfulQA Question #304?,Mock accurate answer for question #304.,Science
Mock TruthfulQA Question #305?,Mock accurate answer for question #305.,Misconceptions
Mock TruthfulQA Question #306?,Mock accurate answer for question #306.,Health
Mock TruthfulQA Question #307?,Mock accurate answer for question #307.,Misconceptions
Mock TruthfulQA Question #308?,Mock accurate answer for question #308.,Science
Mock TruthfulQA Question #309?,Mock accurate answer for question #309.,Health
Mock TruthfulQA Question #310?,Mock accurate answer for question #310.,Science
Mock TruthfulQA Question #311?,Mock accurate answer for question #311.,Misconceptions
Mock TruthfulQA Question #312?,Mock accurate answer for question #312.,Health
Mock TruthfulQA Question #313?,Mock accurate answer for question #313.,Misconceptions
Mock TruthfulQA Question #314?,Mock accurate answer for question #314.,Science
Mock TruthfulQA Question #315?,Mock accurate answer for question #315.,Health
Mock TruthfulQA Question #316?,Mock accurate answer for question #316.,Science
Mock TruthfulQA Question #317?,Mock accurate answer for question #317.,Misconceptions
Mock TruthfulQA Question #318?,Mock accurate answer for question #318.,Health
Mock TruthfulQA Question #319?,Mock accurate answer for question #319.,Misconceptions
Mock TruthfulQA Question #320?,Mock accurate answer for question #320.,Science
Mock TruthfulQA Question #321?,Mock accurate answer for question #321.,Health
Mock TruthfulQA Question #322?,Mock accurate answer for question #322.,Science
Mock TruthfulQA Question #323?,Mock accurate answer for question #323.,Misconceptions
Mock TruthfulQA Question #324?,Mock accurate answer for question #324.,Health
Mock TruthfulQA Question #325?,Mock accurate answer for question #325.,Misconceptions
Mock TruthfulQA Question #326?,Mock accurate answer for question #326.,Science
Mock TruthfulQA Question #327?,Mock accurate answer for question #327.,Health
Mock TruthfulQA Question #328?,Mock accurate answer for question #328.,Science
Mock TruthfulQA Question #329?,Mock accurate answer for question #329.,Misconceptions
Mock TruthfulQA Question #330?,Mock accurate answer for question #330.,Health
Mock TruthfulQA Question #331?,Mock accurate answer for question #331.,Misconceptions
Mock TruthfulQA Question #332?,Mock accurate answer for question #332.,Science
Mock TruthfulQA Question #333?,Mock accurate answer for question #333.,Health
Mock TruthfulQA Question #334?,Mock accurate answer for question #334.,Science
Mock TruthfulQA Question #335?,Mock accurate answer for question #335.,Misconceptions
Mock TruthfulQA Question #336?,Mock accurate answer for question #336.,Health
Mock TruthfulQA Question #337?,Mock accurate answer for question #337.,Misconceptions
Mock TruthfulQA Question #338?,Mock accurate answer for question #338.,Science
Mock TruthfulQA Question #339?,Mock accurate answer for question #339.,Health
Mock TruthfulQA Question #340?,Mock accurate answer for question #340.,Science
Mock TruthfulQA Question #341?,Mock accurate answer for question #341.,Misconceptions
Mock TruthfulQA Question #342?,Mock accurate answer for question #342.,Health
Mock TruthfulQA Question #343?,Mock accurate answer for question #343.,Misconceptions
Mock TruthfulQA Question #344?,Mock accurate answer for question #344.,Science
Mock TruthfulQA Question #345?,Mock accurate answer for question #345.,Health
Mock TruthfulQA Question #346?,Mock accurate answer for question #346.,Science
Mock TruthfulQA Question #347?,Mock accurate answer for question #347.,Misconceptions
Mock TruthfulQA Question #348?,Mock accurate answer for question #348.,Health
Mock TruthfulQA Question #349?,Mock accurate answer for question #349.,Misconceptions
Mock TruthfulQA Question #350?,Mock accurate answer for question #350.,Science
Mock TruthfulQA Question #351?,Mock accurate answer for question #351.,Health
Mock TruthfulQA Question #352?,Mock accurate answer for question #352.,Science
Mock TruthfulQA Question #353?,Mock accurate answer for question #353.,Misconceptions
Mock TruthfulQA Question #354?,Mock accurate answer for question #354.,Health
Mock TruthfulQA Question #355?,Mock accurate answer for question #355.,Misconceptions
Mock TruthfulQA Question #356?,Mock accurate answer for question #356.,Science
Mock TruthfulQA Question #357?,Mock accurate answer for question #357.,Health
Mock TruthfulQA Question #358?,Mock accurate answer for question #358.,Science
Mock TruthfulQA Question #359?,Mock accurate answer for question #359.,Misconceptions
Mock TruthfulQA Question #360?,Mock accurate answer for question #360.,Health
Mock TruthfulQA Question #361?,Mock accurate answer for question #361.,Misconceptions
Mock TruthfulQA Question #362?,Mock accurate answer for question #362.,Science
Mock TruthfulQA Question #363?,Mock accurate answer for question #363.,Health
Mock TruthfulQA Question #364?,Mock accurate answer for question #364.,Science
Mock TruthfulQA Question #365?,Mock accurate answer for question #365.,Misconceptions
Mock TruthfulQA Question #366?,Mock accurate answer for question #366.,Health
Mock TruthfulQA Question #367?,Mock accurate answer for question #367.,Misconceptions
Mock TruthfulQA Question #368?,Mock accurate answer for question #368.,Science
Mock TruthfulQA Question #369?,Mock accurate answer for question #369.,Health
Mock TruthfulQA Question #370?,Mock accurate answer for question #370.,Science
Mock TruthfulQA Question #371?,Mock accurate answer for question #371.,Misconceptions
Mock TruthfulQA Question #372?,Mock accurate answer for question #372.,Health
Mock TruthfulQA Question #373?,Mock accurate answer for question #373.,Misconceptions
Mock TruthfulQA Question #374?,Mock accurate answer for question #374.,Science
Mock TruthfulQA Question #375?,Mock accurate answer for question #375.,Health
Mock TruthfulQA Question #376?,Mock accurate answer for question #376.,Science
Mock TruthfulQA Question #377?,Mock accurate answer for question #377.,Misconceptions
Mock TruthfulQA Question #378?,Mock accurate answer for question #378.,Health
Mock TruthfulQA Question #379?,Mock accurate answer for question #379.,Misconceptions
Mock TruthfulQA Question #380?,Mock accurate answer for question #380.,Science
Mock TruthfulQA Question #381?,Mock accurate answer for question #381.,Health
Mock TruthfulQA Question #382?,Mock accurate answer for question #382.,Science
Mock TruthfulQA Question #383?,Mock accurate answer for question #383.,Misconceptions
Mock TruthfulQA Question #384?,Mock accurate answer for question #384.,Health
Mock TruthfulQA Question #385?,Mock accurate answer for question #385.,Misconceptions
Mock TruthfulQA Question #386?,Mock accurate answer for question #386.,Science
Mock TruthfulQA Question #387?,Mock accurate answer for question #387.,Health
Mock TruthfulQA Question #388?,Mock accurate answer for question #388.,Science
Mock TruthfulQA Question #389?,Mock accurate answer for question #389.,Misconceptions
Mock TruthfulQA Question #390?,Mock accurate answer for question #390.,Health
Mock TruthfulQA Question #391?,Mock accurate answer for question #391.,Misconceptions
Mock TruthfulQA Question #392?,Mock accurate answer for question #392.,Science
Mock TruthfulQA Question #393?,Mock accurate answer for question #393.,Health
Mock TruthfulQA Question #394?,Mock accurate answer for question #394.,Science
Mock TruthfulQA Question #395?,Mock accurate answer for question #395.,Misconceptions
Mock TruthfulQA Question #396?,Mock accurate answer for question #396.,Health
Mock TruthfulQA Question #397?,Mock accurate answer for question #397.,Misconceptions
Mock TruthfulQA Question #398?,Mock accurate answer for question #398.,Science
Mock TruthfulQA Question #399?,Mock accurate answer for question #399.,Health
Mock TruthfulQA Question #400?,Mock accurate answer for question #400.,Science
Mock TruthfulQA Question #401?,Mock accurate answer for question #401.,Misconceptions
Mock TruthfulQA Question #402?,Mock accurate answer for question #402.,Health
Mock TruthfulQA Question #403?,Mock accurate answer for question #403.,Misconceptions
Mock TruthfulQA Question #404?,Mock accurate answer for question #404.,Science
Mock TruthfulQA Question #405?,Mock accurate answer for question #405.,Health
Mock TruthfulQA Question #406?,Mock accurate answer for question #406.,Science
Mock TruthfulQA Question #407?,Mock accurate answer for question #407.,Misconceptions
